Name der Klinik,Textuelle Bewertung,Sternebewertung,Datum der Bewertung,Likes,sentiment,sentimentBewertung
Augenklinik Dr.Hoffmann,"Hallo zusammen,**die Sehschule in Ihrer Klinik, ist sehr kompetent und sehr nett im Umgang der Patientin und Patienten. Ein Lob einmal für Frau Behrends! Vielen Lieben Dank für Ihre Mühe.",5,vor einem Monat,1,"Sentiment(polarity=0.6666666666666666, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Ich war letzte Woche mit meinem Sohn (4) dort gewesen und diesmal auch mit Termin und es ging alles sehr zügig.. Schneller als gedacht.. Wirklich freundliches Personal auch in Bezug auf meinen kleinen...Er  hat sich echt wohl gefühlt.. Kein Theater und hat alles mitgemacht und das alles trotz der aktuellen Situation..Wir waren vor ca 2 Jahren auch schon mal da..damals in der offenen Sprechstunde aber auch da waren Wartezeiten voll im Rahmen..Kann die Augenklinik nur empfehlen.. Weiter so,5,vor 7 Monaten,1,"Sentiment(polarity=0.40625, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Rundum sehr zufrieden, mit em Ablauf und der Betreuung.**Vielen Dank für das Brötchen und den Kaffee danach.**Bleiben Sie alle gesund. Mit einem frohen ""Glück Auf"" aus Clausthal-Zellerfeld, Gunter Krause",5,vor 3 Tagen,5,"Sentiment(polarity=0.5, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Gesamtes Team sehr nett und aufmerksam.**Auf meine Bedürfnisse mit Verständnis eingegangen und mir zur Seite gestanden.,5,vor 2 Monaten,2,"Sentiment(polarity=0.5, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Die Augenklinik Dr. Hoffmann ist nur zu empfehlen. Es gab bei meinen Besuchen und meiner OP keine Komplikationen oder längere Wartezeiten. Alle Mitarbeiter sind sehr nett. Es sind zwar immer viele Patienten vor Ort, aber es ist ein guter und schneller Ablauf!",5,vor 6 Monaten,8,"Sentiment(polarity=0.6416666666666666, subjectivity=0.08333333333333333)",Positiv
Augenklinik Dr.Hoffmann,"MUTTER WIRD RAUSGESCHMISSEN WEGEN MANGEL AN BETREUUNG.****Durch die ganze Corona krise war das Personal der Meinung mich trotz Termin nicht meinen Termin wahrnehmen lassen zu können. Ich war mit meiner Tochter dort, weshalb sie mich nicht reingelassen haben. sie waren der Meinung das Kind könnte nicht alleine draußen warten und dürfte auch nicht mit reinkommen.**Meine Tochter hat noch keinen kitaplatz deshalb ich sie auch nicht abgeben konnte. Meine anfahrtszeit beträgt ca anderthalb Stunden und dies alles umsonst.",1,vor 6 Monaten,1,"Sentiment(polarity=0.0, subjectivity=0.0)",Neutral
Augenklinik Dr.Hoffmann,"Guten Tag liebes Op Team ! Ich bin wirklich richtig zufrieden   Mein erstes Auge wurde sehr gut operiert und nun das zweite auch hier , sehr gut. Trotz Wartezeit, aber wir wurden nett unterhalten im Vorraum zum Operationssaal. Sehr nette Schwestern und der lustige Anästhesiepfleger Alexander haben mir die Angst  genommen. Weiterhin ist die Anästhesistin zu erwähnen , Frau Wegener? Ich habe leider den Namen vergessen. So aufmerksam und zugewandt, das habe ich in meiner Krankheitslaufbahn, sehr selten erlebt. Wirklich sehr sehr nett. Auch die Schwestern im Wartezimmer waren wirklich nett. Operiert hat mich Dr. Geck, es gab auch während der Op noch lustige Kommentare! Vielen lieben Dank.**Was vielleicht noch wichtig ist , an beiden Tagen gab es nach der Operation etwas zu essen. Auch hier : lecker und gut. Vielen Dank für ihre Arbeit.",5,vor einem Monat,5,"Sentiment(polarity=0.7142857142857143, subjectivity=0.07142857142857142)",Positiv
Augenklinik Dr.Hoffmann,"Ich hatte einen Termin mit meinem 5-jährigen Sohn, mit dessen Behandlung ich bei einem anderen Arzt nicht zufrieden war ( 2 Brillen innerhalb von 3 Monaten, widersprüchlicher Sehtest... ). Ich bekam recht zügig einen Termin, wurde ernst genommen und alle MA waren sehr freundlich. Es hat zwar etwas Wartezeit gekostet, aber mein Sohn wurde sehr sehr gründlich untersucht ( und braucht auch keine Brille mehr ).",5,vor 5 Monaten,2,"Sentiment(polarity=0.5, subjectivity=0.16666666666666666)",Positiv
Augenklinik Dr.Hoffmann,"Nettes und freundliches Personal, nach kurzem Eingriff kann ich wieder alles in HD sehen.**Vielen dank!!!!",5,vor einem Monat,6,"Sentiment(polarity=0.3333333333333333, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Ich habe an beiden Augen die natürliche Linse durch Bi-Fokale-Linsen ersetzen lassen.**In der Augenklinik wurde ich sehr professionell beraten.**Die OP verlief sehr unkompliziert und problemlos. Das Personal ist sehr freundlich. Ich bin rundum zufrieden.,5,vor 2 Monaten,4,"Sentiment(polarity=0.33999999999999997, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Sehr geehrte Damen und Herren,****am 11.11.2020 besuchte ich Ihre Klinik auf Empfehlung meines Augenarztes Dr. Geiger, WF, um meine Augen untersuchen zu lassen; als ich das volle Wartezimmer sah, rechnete ich mit mehreren Stunden Wartezeit! Angenehm überrascht war ich, als man mich nach 5 Minuten in das Behandlungszimmer rief, wo ich freundlich von den jungen Damen empfangen wurde und nacheinander an diversen Geräten untersucht wurde; durch einen Tremor war es mir kaum möglich, den Kopf ruhig zu halten, doch auch hier zeigten sich Ihre Mitarbeiterinnen als sehr hilfsbereit! Ein besonderer Dank geht an Frau Walentowski, die mir zum Abschluß der Untersuchung in verständlichen Worten erklärte, was bei einer Augen-OP geschieht.****Die erste OP war am 27.11 + 28.11.2020; auch hier wurde ich freundlich von den Schwestern und dem OP- Team empfangen und auf die OP vorbereitet, die dann bereits nach ca`5 Minuten vorbei war, während ich immer noch auf`s ""zertrümmern und absaugen"" der alten Linse wartete!!! Der Nachmittag, der Abend und die Nacht bei Ihnen verliefen ruhig.  (Bemerkung: Das Abendbrot war sehr knapp, wurde aber von der Schwester nachgebessert). Am nächsten Morgen war die Spannung groß, als der Verband entfernt Wurde. Großes Staunen meinerseits: Helles, klares Sehen, wie ich es nicht mehr kannte!****Am 20.01.2021 erfolgte die 2. OP; hier kann ich es kurz machen: Alle positiven Merkmale der 1. OP trafen auch hier zu!****Ich beglückwünsche Sie zu diesen Mitarbeiterinnen und Mitarbeitern angrfangen beim Fahrpersonal über die Reinigungskraft, die Schwestern, das OP - Team, den Oberarzt und den Chefarzt und werde meine guten Erfahrungen an meinen Bekannten- und Freundeskreis weitergeben.",5,vor einem Monat,8,,
Augenklinik Dr.Hoffmann,Ich habe mich stets gut beraten gefühlt. Das Personal war äußerst zuvorkommend und freundlich. Ich würde meine OP jederzeit weiterempfehlen. Tolles Team.,5,vor 5 Monaten,7,"Sentiment(polarity=0.7125, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Zu allererst möchte ich sagen das die Organisation trotz Corona sehr gut funktioniert hat. Da können sich einige eine Scheibe von abschneiden.**Die Beratung durch den Arzt empfand ich als sehr kompetent.**Er beantworte alle meine Fragen und wirkte nicht gehetzt. Endlich mal jemand der sich Zeit genommen hat.**Die Helferinnen den ich in der Anmeldung, Untersuchung und im Arztzimmer begegnete waren alle sehr freundlich, was mir sehr gefiel.**Kann diese Praxis nur weiter empfehlen.**Man merkte insgesamt eine gute Stimmung vor Ort was mir positiv auffiel.",5,vor 8 Monaten,3,"Sentiment(polarity=0.625, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Ich war mit einer Entzündung am Freitag in der offenen Sprechstunde. Klasse wie zügig der Ablauf war. Im Eingangsbereich eine junge Frau die mich bat Hände zu desinfizieren und weiterleitete zum Wartebereich. Kurze Zeit später ging es schon zur Ärztin. Auch dort sehr freundlich und mir zu gewandt. Hab mich gut aufgehoben gefühlt. Wird jetzt meine zukünftige Anlaufstelle bei Augenproblemen. Vielen Dank.,5,vor 7 Monaten,14,"Sentiment(polarity=0.55, subjectivity=0.125)",Positiv
Augenklinik Dr.Hoffmann,Sehr gutes und freundliches Personal würde am grauen Star operiert kann wieder ohne Brille wieder hervorragend gucken Danke,5,vor 4 Monaten,8,"Sentiment(polarity=0.43333333333333335, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Sehr gute und persönliche Betreuung!,5,vor 2 Wochen,1,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Mein Vater wurde in der Augenklinik aufgrund des grauen Stars erfolgreich behandelt bzw. operiert. Der gesamte Ablauf, Vor - Untersuchung, Beratung und schlussendlich die Operation selbst ist zu unserer vollsten Zufriedenheit verlaufen. Die Mitarbeiter sind allesamt sehr freundlich und es war alles sehr gut organisiert. Auch die gerade erforderlichen, erschwerenden Maßnahmen hinsichtlich Corona werden bestmöglich und erfolgreich umgesetzt, man fühlt sich sehr gut umsorgt. Angeboten wurde auch ein Abholservice zum OP Termin, den wir jedoch nicht in Anspruch genommen haben. Vor Ort wurde dem Patienten bzw. meinem Vater Kaffee und ein kleiner Snack angeboten: Hervorragender, sehr zuvorkommender Service! Besonders positiv in Erinnerung bleiben wird uns auch, daß man sich am späten Nachmittag nach der Operation nochmal nach dem Befinden meines Vaters erkundigt hat und ob er gut zuhause angekommen war. Hier fühlt man sich als Patient bestens beraten und rundum sehr gut aufgehoben!",5,vor 3 Monaten,1,"Sentiment(polarity=0.51875, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Kinderfreundliche Ärztin und Helferin. Konnte schnell helfen. Mit Kleinkind bei längeren Wartezeiten wäre eine spielecke jedoch angenehmer.,4,vor 6 Monaten,3,"Sentiment(polarity=0.5666666666666667, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Die Klinik ist irgendwie alt und dreckig. Die Arzthelferinnen sehen ungepflegt aus. Aber die Ärtze sind nicht schlecht.,1,vor 4 Monaten,No Like,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.0)",Negativ
Augenklinik Dr.Hoffmann,"Ich bin überzufrieden mit dem Klinikpersonal, die mich in der Woche nach meiner Operation betreuten. Angefangen von dem Personal, dass für die Essensverpflegung und Reinigung der Räumlichkeiten zuständig war, über das Schwesternpersonal bis hin zur Ärztin und Ihrer Assistentin in  der  Untersuchungspraxis kann ich mich überhaupt nicht beschweren. Ebenso die Aufklärung hinsichtlich der notwendigen Narkosemaßnahmen und der Beruhigung während der örtlichen Narkose sowie bis zum bisherigen Operationsergebnis ist alles zu meiner vollsten Zufriedenheit abgelaufen. Auch von den Räumlichkeiten, der Hygiene etc. ist alles weit**aus besser als in einer allgem. Klinik.**Das es keine TV-Schirme auf den einzelnen Zimmern gab, na ja, nach der**OP habe ich sowieso kaum etwas mit dem operierten Auge scharf sehen**können und für Radio hatte ich mein I-Pad dabei.**Natürlich wird es immer Situationen und Leute geben, die nicht zufrieden sind. Auch ich hatte Positives und Negatives hinsichtlich von Operationen**in dieser Klinik gehört. Aber ich kann dies nicht bestätigen. Alle die in meiner Zeit dort operiert wurden und mit denen ich Kontakt hatte, waren zufrieden.",5,vor 3 Monaten,No Like,"Sentiment(polarity=-0.009999999999999998, subjectivity=0.13999999999999999)",Negativ
Augenklinik Dr.Hoffmann,Wirklich super freundliches Personal! Ich habe mich sehr gut aufgehoben gefühlt und auch der Arzt hat sich viel Zeit für mich genommen. Kann ich nur weiter empfehlen! :-),5,vor 7 Monaten,No Like,"Sentiment(polarity=0.625, subjectivity=0.125)",Positiv
Augenklinik Dr.Hoffmann,"Ich war wirklich positiv überrascht! Nachdem ich gestern bei der offenen Sprechstunde eines anderen Augenarztes sehr enttäuscht wurde, und die älteren Rezensionen bei dieser Augenklinik hier auch nichts allzu gutes versprachen, bin ich mit gemischten Gefühlen heute morgen hingefahren.****Ich war gegen 07:25 da (07:30 beginnt die offene Sprechstunde) und da war auch bereits „Einlass“ seit ein paar Minuten. Es lief alles sehr gut organisiert ab, man durchlief quasi mehrere Stationen bis man dann am Ende bei der Ärztin landete - und alle Mitarbeiterinnen mit denen ich währenddessen Kontakt hatte waren super nett und hilfsbereit.**Insgesamt habe ich am Ende knapp 45 Minuten gewartet, was bei so einer offenen Sprechstunde noch total im Rahmen ist m.M.n. Die Ärztin selbst war auch total freundlich und wirkte kompetent. Ich wurde in Ruhe untersucht und mir wurde alles erklärt, man hatte absolut nicht das Gefühl einer Abfertigung (obwohl ich ja keinen Termin hatte).****Letztendlich war ich dann nach ca. 1 Stunde wieder draußen, habe mich gut beraten und untersucht gefühlt (ich war mindestens 15 Minuten bei der Ärztin drin würde ich schätzen - das ist heutzutage ja schon wirklich viel Zeit, die sich genommen wird!) - also alles besser als gedacht!",5,vor 7 Monaten,No Like,"Sentiment(polarity=0.53, subjectivity=0.03333333333333333)",Positiv
Augenklinik Dr.Hoffmann,"Ich habe an der Klinik nichts auszusetzen, jedoch sind die Wartezeiten einfach zu lange. Selbst für eine Routine Nachuntersuchung sollte man 3-4 Stunden einplanen.",1,vor 5 Monaten,No Like,"Sentiment(polarity=0.35, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Ich bin sehr zufrieden. Ich war bereits zwei mal in Behandlung (verschiedene Befunde).**Alles sehr angenehm, kompetent und freundlich.****So wünscht man sich das!",5,vor 7 Monaten,No Like,"Sentiment(polarity=0.0, subjectivity=0.0)",Neutral
Augenklinik Dr.Hoffmann,Sehr zu empfehlen!**Ich hab mich zu jeder Zeit gut aufgehoben gefühlt und wurde über Behandlungen bestens aufgeklärt.,5,vor 7 Monaten,No Like,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Sehr nett und klar erklärt.**Ich bin zufrieden. Muss 5 Sterne geben.,5,vor 6 Monaten,No Like,"Sentiment(polarity=0.3333333333333333, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Meine Mutter musste an beiden Augen am grauen Star operiert werden und es hat alles bestens geklappt. Sie hat wieder mehr Lebensqualität gewonnen.,5,vor 6 Monaten,No Like,"Sentiment(polarity=-0.35, subjectivity=0.5)",Negativ
Augenklinik Dr.Hoffmann,Meine Behandlung verlief ohne Komplikationen. Ich habe mich bereits während der Voruntersuchung sehr gut aufgehoben gefühlt! Während meiner OP war immer ein Pfleger/Arzt an meiner Seite.,5,vor 8 Monaten,No Like,"Sentiment(polarity=0.3333333333333333, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Die Dame am Telefon sollte man eventuell zum Kacheln zählen ins Badezimmer schicken. Sie ist extrem unhöflich und respektlos.**Liebe Frau denken sie über einen Job Wechsel nach, es ist nie zu spät.",1,vor 8 Monaten,No Like,"Sentiment(polarity=0.0, subjectivity=0.0)",Neutral
Augenklinik Dr.Hoffmann,"Ich kann hier durchweg nur positiv berichten.**Sehr nettes Ärzteteam, nette Arzthelferinnen, schnelle Terminvergabe, gute Betreuung.**Keine Vorabdiagnosen ohne genügend Befunde. Ohne die Vorbehandlung hätte die Behandlung im KH sicherlich noch länger gedauert.**Das einige was es zu „bemängeln“ gäbe sind die eigentlich nicht vorhandenen Parkplätze. Aber sonst alles Top! Weiterzuempfehlen!",5,vor 9 Monaten,No Like,"Sentiment(polarity=0.2357142857142857, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Ich bin vor einigen Jahren mit einer Netzhautablösung in die augenklinik gegangen, es wurde sehr schnell und absolut professionell operiert.**Seit dem bin ich zu der regelmäßigen Kontrolle und Behandlung dort! Nach wie vor immer zufrieden!",5,vor 9 Monaten,No Like,"Sentiment(polarity=0.2333333333333333, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Ich habe mich sehr aufgehoben gefühlt, und wurde absolut kompetent und freundlich beraten.****Wird stets weiter empfohlen 🍾",5,vor 8 Monaten,No Like,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Es ist zur Zeit von corona verständlich das man nicht die ganze zeit zu 2 im wartezimmer platz nehmen darf.. das man hier aber seit fast 4 stunden vor der Tür in einem Zelt sitzt wo die heizstrahler nicht gehen ist eine absolute Frechheit! Und man dann noch raus geschmissen wird Weil man sich mal 10 Minuten aufwärmt,1,vor 6 Monaten,No Like,"Sentiment(polarity=0.35, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Die Informationen auf der Website sind falsch. Ich bin um 9:00 Uhr wegen eines Notfalls hingefahren und wurde von einer sehr unfreundlichen Sprechstundenhilfe angewiesen. Ohne einen Termin gehe garnichts. Auch nicht bei Notfällen.,1,vor 6 Monaten,No Like,"Sentiment(polarity=-0.5, subjectivity=0.0)",Negativ
Augenklinik Dr.Hoffmann,"Freundliches Team! Die offene Sprechstunde ist eine tolle Sache. Man kommt zwar nicht sofort dran, aber das Warten lohnt sich.",5,vor 8 Monaten,No Like,"Sentiment(polarity=0.6666666666666666, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Nette Mitarbeiter und Ärzte.**Augen OP super geklappt und zuvor gute Aufklärung über den Verlauf der OP.,5,vor 7 Monaten,No Like,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Schon am Telefon super unfreundlich.**Zu mehr ist und wird es nicht mehr kommen.****6 Monate später wird nun versucht meine Rezension zu löschen da Ich angeblich ein Fake Acc wäre. Vllt sollten sie einfach mal die unfreundliche Dame zur Rechenschaft ziehen.****Wie gesagt kein Fake acc und diese Situation war wirklich nicht schön.,1,vor 3 Tagen,No Like,"Sentiment(polarity=-0.5666666666666667, subjectivity=0.2)",Negativ
Augenklinik Dr.Hoffmann,Super nette und freundliche Arzthelferinnen und kompetente Ärzte. Ich fühlte mich sehr wohl und gut aufgehoben :),5,vor 9 Monaten,No Like,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Tolle Augenklinik mit kompetenten und freundlichem Personal. Ich habe mich dort sehr wohl gefühlt und kann diese Augenklinik absolut jedem empfehlen.,5,vor 8 Monaten,No Like,"Sentiment(polarity=0.925, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Sehr ordentlich organisiert, sehr freundlich und man wird über alles vernünftig aufgeklärt.",4,vor 8 Monaten,No Like,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Hervorragende Organisation und sehr freundliche, kompetente Mitarbeiter",5,vor 7 Monaten,No Like,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Sehr gute Erfahrungen, fühle mich dort sehr gut aufgehoben und komme gerne immer wieder!!!",5,vor 8 Monaten,No Like,"Sentiment(polarity=0.5, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Ich gehe mit meinen meinen beiden Kindern regelmäßig in die Augenklinik, wir sind sehr zufrieden. Wir werden immer nett behandelt.",4,vor 9 Monaten,No Like,"Sentiment(polarity=0.5, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"War heute mit meiner Frau da und war total beeindruckt von der Freundlichkeit und der Umsicht der Assistentinnen, trotz der vielen Patienten im Haus und in der langen Schlange vor dem Haus. Unverständlich daß es immer noch Unverbesserliche gibt die sich beschweren.",4,vor 9 Monaten,No Like,"Sentiment(polarity=-0.5, subjectivity=0.5)",Negativ
Augenklinik Dr.Hoffmann,"Eine Augenklinik mit modernster Ausstattung, freundlichem Personal und familiärer Atmosphäre.",5,vor 9 Monaten,No Like,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Sehr gut Klinik mit einem tollen Team! Auf jeden Fall, immer hin.",5,vor 9 Monaten,No Like,"Sentiment(polarity=0.5, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Wunderbare Klinik, jeder ist sehr freundlich, sehr beliebt!",5,vor 8 Monaten,No Like,"Sentiment(polarity=0.9, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Super Beratung. Habe mich sehr wohl gefühlt!!!,5,vor 9 Monaten,No Like,"Sentiment(polarity=0.0, subjectivity=0.0)",Neutral
Augenklinik Dr.Hoffmann,"Nettes und freundliches Personal, vor allem in der Sehschule.Meine Tochter fühlte sich super aufgehoben und ich als Mutter auch.",5,vor 9 Monaten,No Like,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Ich hatte einen kleinen Eingriff auf dem Augenlid, wovor ich ziemliche Angst hatte. Es wurde schnell und kompetent entfernt,  das gesamte Personal war sehr nett und ich habe mich sehr gut aufgehoben gefühlt. Keine Komplikationen im Anschluss.  Kann ich nur weiter empfehlen.",5,vor einem Jahr,No Like,"Sentiment(polarity=0.48125, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Nette und kompetente Angestellte! Sehr zu empfehlen,5,vor 8 Monaten,No Like,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Sehr netter Kontak und kompetente Beratung.,5,vor 8 Monaten,No Like,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Schlechteste Klinik die ich je gesehen habe,1,vor 7 Monaten,No Like,"Sentiment(polarity=0.0, subjectivity=0.0)",Neutral
Augenklinik Dr.Hoffmann,Mein Sohn und ich können uns nicht beschweren. Am Empfang war eine sehr nette Dame. Auch beim ersten Sehtest war eine sehr freundliche und kinderliebe Frau. Und auch die Ärztin hat uns super aufgeklärt und hat alles kindgerecht mit meinem Sohn gemacht. Wir hatten einen Termin und insgesamt waren wir 50 Minuten dort (inklusive 1. Sehtest und Behandlung mit 2. Sehtest). Wir kommen wieder und fühlen uns gut aufgehoben.,5,vor einem Jahr,No Like,"Sentiment(polarity=0.4375, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Super kompetent! Super schnell und auch noch nett!!,5,vor 10 Monaten,No Like,"Sentiment(polarity=0.6166666666666667, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Die offene Sprechstunde ist wirklich ein gutes Angebot,5,vor 8 Monaten,No Like,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Ich war heute morgen da , sehr nett Wartezeit normal 1,5 Std kann man ohne Termin hin gehen. Alles gut kann nur weiter empfehlen.",5,vor einem Jahr,No Like,"Sentiment(polarity=0.925, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Sehr freundliches Personal.**Dafür das wir keinen Termin hatten waren wir nach 30 min wieder draußen!!**Der Arzt war sehr freundlich und erklärte alles auch sehr Kind gerecht!!!!**Vielen Dank,5,vor einem Jahr,No Like,"Sentiment(polarity=0.5, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Sehr freundliches und vorallem kompetentes Personal.**Ich musste nicht lange warten und das Wartezimmer und die Ausstattung der Klinik waren super. Ich fühle mich hier sehr gut aufgehoben und kann die Augenklinik wärmstens empfehlen.**Vielen Dank an das ganze Team,5,vor 2 Jahren,No Like,"Sentiment(polarity=0.5, subjectivity=0.0)",Positiv
