Name der Klinik,Titel,Datum,Fachbereich,Erfahrungsbericht,Gesamtzufriedenheit,Qualität der Beratung,Mediz. Behandlung,Verwaltung und Abläufe,Ausstattung und Gestaltung
Asklepios Fachklinikum Göttingen,DBT-STATION GÃTTINGEN,31.03.2019,Augen,"Ich war auf der DBT-Station 6 der Asklepios GÃ¶ttingen.
Dies ist eine alte Stadtvilla mit jeweilig ein und zweibett-zimmern.
Ich bekam auf eine Bitte hin ein Einzelzimmer!
Die Therapien sind sehr gut gestaltet, auch das Skilltraining mit der Bezugsperson ist recht angenehm.
Das Alter ist gemischt von jung bis alt!
Es gibt drei aufenthaltsrÃ¤ume mit tvÂ´s wo man sich wahlweise zurÃ¼ck ziehen kann.
Auch kann man die KÃ¼che privat nutzen um dort zu kochen etc.
Auch eigene Lebensmittel kÃ¶nnen dort gelagert werden!
Einzig blÃ¶d ist das auswÃ¤rts essen, da darf man nicht viel erwarten da es eben eine Klinik ist.
Auch zu benennen ist es, dass meinen Obolus entrichten muss fÃ¼r die Ergotherapie!
alles in allem ist die station zu empfehlen!",zufrieden,zufrieden,zufrieden,zufrieden,"unzufrieden (Die RÃ¤umlichkeiten sind veraltet. Der Wartebereich ist hoffnungslos Ã¼berlaufen. AblÃ¤ufe sind schlecht strukturiert, ebenso die Behandlungsreihenfolge der Patienten nicht die)"
Asklepios Fachklinikum Göttingen,Kontraproduktiv fÃ¼r einen Entzug!,15.03.2019,Augen,"Absolut nicht zu empfehlen fÃ¼r Leute die wirklich entziehen wollen! Auf der Station 4.2 sitzen 80% der Patienten mit Beschluss. Die haben nicht ansatzweise den Willen aufzuhÃ¶ren und verseuchen die ganze Station mit Stoff. Sowas hab ich noch nie im Leben gesehen. Die Pfleger schauen einfach weg, obwohl Leute eindeutig unter âDrogenâ stehen. Es wird geklaut ohne Ende und stÃ¤ndig wird man nach Geld und Stoff gefragt. Ich wollte hier von Benzos entziehen, aber nach dem Aufenthalt hier kann man gleich 1 Jahr Trauma Therapie dran hÃ¤ngen! 50% der Leute konsumieren hier MDPV und flippen total ab, sodass man wirklich Angst und Panik kriegt. Ich musste 12 Wochen auf einen Termin warten und wer aus GÃ¶ttingen kommt, klopft einfach an die TÃ¼r und wird einfach aufgenommen. Jede Nacht muss man mit einem Auge offen schlafen, weil die Leute einfach in fremde Zimmer gehen und machen was sie wollen. Dem Personal kann man noch so oft sagen, das hier was nicht richtig lÃ¤uft und es wird einfach nicht reagiert. Ich verstehe nach einer Woche Aufenthalt hier die Welt nicht mehr und meine Ãngste werden immer grÃ¶Ãer. HÃ¤tte ich das vorher gewusst, dann hÃ¤tte ich lieber kalt entzogen und wÃ¤re lieber an nem Krampfanfall verreckt. Die Station 4.2 hat nicht mal einen Stern in meinen Augen verdient, denn geholfen wird hier Ã¼berhaupt nicht! Ãber Essen und Hygiene will ich gar nicht reden. FÃ¼r jeden der wirklich entgiften will - sucht euch eine andere Klinik! Wenn das hier nicht besser wird muss auch ich meine âTherapieâ hier abbrechen. 2000 Zeichen fÃ¼r eine Bewertung sind absolut nicht ausreichend um diesen schlimmen Zustand hier zu beschreiben. In meinen Augen ist das echt traurig. Hauptsache die Station voll kriegen und Kohle kassieren. Auf Hilfe wartet man hier vergeblich und viele Patienten mÃ¼ssen darunter leiden. Ich spreche wirklich eine Warnung aus! Wenn ihr die MÃ¶glichkeit habt, dann geht in eine andere Klinik. Der aller letzte Dreck hier!",unzufrieden (Im Text erklÃ¤rt),weniger zufrieden (Ãrzte teilweise viel zu unerfahren & Personal alles noch Kinder),zufrieden (Aber bei dem Umfeld hilft das auch nichts!),unzufrieden (Nichts funktioniert. Medikamente werden einfach umgestellt oder komplett abgesetzt ohne das es vorher abgesprochen wird),"zufrieden (zeitgemÃ¤Ãe, moderne GerÃ¤te)"
Asklepios Fachklinikum Göttingen,Hilfe sucht man hier vergeblich,18.02.2019,Augen,"Ich habe in den vergangenen Jahren leider mehrfach mit der Asklepios Fachklinik in GÃ¶ttingen zu tun gehabt und dabei leider sehr schlechte Erfahrungen gemacht. 

Das Personal (Ãrzte, Pflegepersonal etc.) ist oft unfreundlich, unmotiviert, desinteressiert und wenig hilfsbereit. Wenn man dort Hilfe will, bekommt man sie oft nur, wenn man selber ein massives Auftreten an den Tag legt. Ansonsten wird man abgewimmelt, vertrÃ¶stet und weggeschickt. 

Zudem muss der Hilfesuchende und auch AngehÃ¶rige klar definieren und artikulieren kÃ¶nnen, worin genau der Hilfsbedarf besteht. Nur leider sucht man ja gerade deshalb diese Klinik auf, weil man sich selber nicht mehr helfen kann und gerade nicht weiÃ, wie geholfen werden kÃ¶nnte. Kann man sein BedÃ¼rfnis nicht klar formulieren, wird man unwirsch abgewimmelt. Beraten wird man nicht oder nur sehr schlecht und in einer Art und Weise, die jeglicher Form von Menschlichkeit entbehrt. 

Anteilnahme, Empathie, ObjektivitÃ¤t, ProfessionalitÃ¤t und MultiperspektivitÃ¤t sucht man hier vergeblich. 

Wer wirklich Hilfe braucht, sollte sich an eine andere Klinik wenden.",unzufrieden,unzufrieden,unzufrieden,unzufrieden,unzufrieden
Asklepios Fachklinikum Göttingen,das letzte !,14.10.2018,Augen,"ganz kurz und knapp gesagt... das letzte wo man hingehen sollte wenn man von seiner Sucht, egal welche, wegkommen will! Mit Medikamenten volldrÃ¶nen, das bekommen sie gut hin, aber mehr auch nicht.Verweigert man Medikamente wird man ausgelacht... super Therapieansatz !!!! Wenn man die Zeit dort durchzieht und anschlieÃend eine Langzeittherapie macht kommt man von seinen SÃ¼chten weg, hat aber das Problem der vielen abhÃ¤ngigmachenden Medikamente. Von einer Sucht in die nÃ¤chste",unzufrieden,unzufrieden,unzufrieden,unzufrieden,unzufrieden
Asklepios Fachklinikum Göttingen,Teures dahinvegetieren,06.09.2018,Augen,"Station 1.1
Pflegepersonal heillos Ã¼berfordert, bei Lapalie (sitzen auf dem Boden) wird man sofort fixiert (Ã¼ber 8 h) & medikamentÃ¶s zwangsbehandelt
Nur 1 Toilette fÃ¼r sÃ¤mtliche weibliche Patienten, die andere war tagelang defekt
Laut PsychKg Ã¼ber 2 Monate Aufenthalt, Widerspruch eingelegt, nach 5 Tagen raus
Keine Sozialarbeiter
Keine Ergotherapie oder andere Therapieangebote
Nur dahinvegetieren, besonders hart, wenn man nich zugedrÃ¶hnt ist
StÃ¤ndig Zimmerwechsel, innerhalb der 5 Tage 3x
Einzige MÃ¶glichkeit an frische Luft zu kommen ist der karge Innenhof, wie im Knast
Selbst homÃ¶opathische Mittel zur Schmerzbehandlung ( HeilÃ¶l) wird weggenommen",unzufrieden,unzufrieden ( ),unzufrieden,unzufrieden,sehr zufrieden
Asklepios Fachklinikum Göttingen,Nie wieder,27.08.2018,Augen,"Auf Station 1.2 wird man nur verwahrt. Auch wenn man aufgrund eines eines massiven MissverstÃ¤ndnisses herkamen muss man damit rechnen Ã¼ber 24 Stunden eingesperrt zu werden.Ohne die MÃ¶glichkeit das MissverstÃ¤ndnis aufzuklÃ¤ren, Seelsorge, Sozialarbeiter, Medikamente. 
Vorerkrankungen werden vielleicht notiert aber mehr passiert auch nicht.
Diabetiker bekommen nicht das Essen, das sie brauchen.
Auf anrufe vom Rechtsanwalt wird nicht reagiert.
Das Geschirr wird von den Patienten von Hand gespielt es gibt keine SpÃ¼lmaschine und die BÃ¶den schmatzen von klebrigem Etwas. Die Putzfrau putzt offensichtlich mit blinden Augen.
Visite oder einen Arzt bekommt man hier nicht zu sehen man wird einfach eingesperrt Klappe zu Affe tot.",unzufrieden,unzufrieden,unzufrieden,unzufrieden,sehr zufrieden
Asklepios Fachklinikum Göttingen,Nicht zu empfehlen ....,09.08.2018,Augen,"Ganz,ganz mieses Krankenhaus ! 
StattionsÃ¤rzte fÃ¼hren die vom Oberarzt angeordneten Untersuchungen nur widerwillig oder auch auch gar nicht aus/durch....
Man wird vollgepumpt mit Haldol ...
Ich habe sehr viele Patienten gesund bzw Angeschlagen kommen sehen und sie rannten dann nach 2-3 Tagen wie Zombies Ã¼ber die flure und wurden quasi krÃ¤nker wie zuvor wieder entlassen ! Einige Schwestern behandeln Patienten sehr von oben herab und verstehen kaum was von dem umgang mit psychisch kranken , sind aber nicht alle so ! Pfleger sind fast durchweg i.O. gewesen ! 
Auf keinen fall zu empfehlen ...
Essen ist durchweg mÃ¼ll
Lieber andere Klinik aufsuchen wenn man die MÃ¶glichkeit hat !",unzufrieden,unzufrieden,unzufrieden,weniger zufrieden,zufrieden
Asklepios Fachklinikum Göttingen,Asklepios GÃ¶ttingen  MEIDEN,28.05.2018,Augen,"arrogante Ãrzte, die ihre Patienten hassen oder wie Kleinkinder behandeln und das entsprechend an das Pflegepersonal weiter vererben. Die haben ALLESAMT keine Ahnung von ihrem eigenen Fachgebiet und es scheint nur darum zu gehen, das Haus voll zu haben - mit mÃ¶glichst ""kostenintensiven"" Diagnosen. Keine GesprÃ¤che, keine Therapie, abgerechnet wird aber ""der volle Satz"". 
Pfleger/innen und Ãrzt/innen fangen regelgemÃ¤Ãig Techtelmechtel mit den Patientinnen an - und kaufen gerne diverse Flaschen Alkohl beim nÃ¤chstgelegenen Aldi ...

Wer gesund bleiben will, sollte diesen Laden unbedingt meiden",unzufrieden,"unzufrieden (keine Beratung, keine AufklÃ¤rung, keine Empathie)",unzufrieden (Pillen nehmen und Maul halten),zufrieden,
Asklepios Fachklinikum Göttingen,Nicht alles NUR schlecht,22.04.2018,Entbindung,"Ich war von Januar bis MÃ¤rz auf Station 6, der DBT-Station.
Dies ist eine alte Stadtvilla gegenÃ¼ber dem Haupthaus, Hier sind nur Patienten mit sog. PersÃ¶nlichkeitsstÃ¶rungen. Ich habe mich dort als Ã¼ber 50jÃ¤hrige zwischen den ganzen ""Kindern"" (max. Alter 26) nicht immer wohl gefÃ¼hlt, zumal die Therapien nicht wirklich von den jungen Leuten ernst genommen und oft geschwÃ¤nzt wurden. Wir waren 4 ""Erwachsene"" zwischen 14 wirklich sehr jungen Menschen. Ich habe mich oft zurÃ¼ckgezogen. Ich habe nichts gegen junge Menschen, aber denen wird oft mehr gestattet, als uns Ãlteren, das kann nicht sein!
Die PflegekrÃ¤fte sind teilweise wirklich sehr nett, aber es gibt auch Drachen, die man bloÃ nicht ansprechen sollte.
Die Physiotherapeuten sind immer sehr bemÃ¼ht und sehr nett. Leider teilweise komplett Ã¼berfordert.
Das Essen kannte ich von meinem letzten Aufenthalt. Es ist nicht Sterneklasse, aber ok.
Die Therapien ansich sind ok und ich habe trotz anfÃ¤nglicher Skepsis Einiges mitnehmen kÃ¶nnen. Leider gibt es nur einmal die Woche Einzeltherapie fÃ¼r 50 Minuten, nach Schema F, was mir nicht gut gefiel. Aber letztendlich kann ich sagen, das mir der Aufenthalt dort sicherlich etwas gebracht hat, obwohl es auch sehr hart war. Ausgang Abends bis 23/24 Uhr haben meistens die jungen Leute genutzt.
Man hat allerdings auch nur 1 !! Ãbernachtung auÃerhalb in 12 Wochen. Das ist sehr wenig fÃ¼r den langen Aufenthalt.
Mein Fazit - nicht alles gut, aber auch nicht alles schlecht.",weniger zufrieden,weniger zufrieden,zufrieden,weniger zufrieden,weniger zufrieden
Asklepios Fachklinikum Göttingen,Absolute EnttÃ¤uschung,12.04.2018,Entbindung,"Zum Allgemeinen: Das essen ist erstmal echt eine Zumutung. Brot trocken, Aufstrich teils wie Katzenfutter, Auswahl mickrig, Mittagessen ist das GemÃ¼se nie gar und der Rest dafÃ¼r total zerkocht.

Pluspunkt ist das GelÃ¤nde. Das lÃ¤dt wirklich zum Verweilen ein.

Konkret kann ich nur Station 1.2 und 5.1 bewerten. 1.2 Ist als Auffangbecken schwer zu beurteilen, da dort wirklich alles gesammelt wird. FÃ¼r mich als ""nur"" SuizidgefÃ¤hrdete war es echt schrecklich mit so vielen wirklich ""durchgeknallten"" und auch etwas Angst einflÃ¶Ãend.

5.1 werde ich im Leben nie wieder besuchen. Ich kam her um Hilfe zu erhalten und bekam gar nichts. Um wirklich jeden ScheiÃ musste ich mich selber kÃ¼mmern. Ansonsten wÃ¼rde ich nach Wochen immer noch rumsitzen und nichts tun. Seit ich hier bin geht's stetig bergab. Immer hÃ¤ufiger selbstverletzendes Verhalten. Flucht. Und sogar erneuter Suizidversuch. Und witziger Weise wird mir 2 Tage nach selbigem mitgeteilt, ich sei ja halbwegs stabil und hÃ¤tte Krisen gut gemeistert, man kÃ¶nne meine Entlassung planen. Ohne das irgendetwas passiert ist. 
Das Pflegepersonal ist zum groÃen Teil sehr nett und verstÃ¤ndnisvoll. Leider gibt es auch da groÃe Ausnahmen. WÃ¤hrend auf anderen Stationen erwÃ¼nscht ist, dass Patienten sich auch gegenseitig UnterstÃ¼tzen und sogar wÃ¤hrend IPT gesagt wurde man soll miteinander reden, wird hier dasselbe Verhalten nach MÃ¶glichkeit unterbunden, da man ja keine Jugendherberge sei. 

Fazit ist also Hilfe erhÃ¤lt man keine, die Ãrzte kÃ¶nnen mit Emotionen null umgehen, aber selbsg gucken wie man sich helfen kann oder eben anderen ist auch nicht erwÃ¼nscht. Station 5.1 wÃ¼rde ich niemandem empfehlen. Oder Asklepios Ã¼berhaupt. Da privatisiert, wird nur noch auf die Kohle geguckt leider.",unzufrieden,unzufrieden,weniger zufrieden (AuÃer Tabletten passiert nichts),unzufrieden,unzufrieden
Asklepios Fachklinikum Göttingen,EnttÃ¤uscht vom Klinikum,26.02.2018,Innere,"Es ist nicht mehr die beste Klinik fÃ¼r  Trauma und Stabilisierung. Ich bin nun die 5 Woche hier und von tag zu Tag wird es trauriger was man hier erleben muss.
Durch Krankheit gibt es fast keine Therapien mehr und Anwendungen. Wenn sowas ist das kann immer sein dan sollte es auch Ersatz geben. Das Pflege Personal hat man oft das GefÃ¼hl sie wollen gar nicht fÃ¼r Patienten da sein und ihre Ruhe. Man wird oft nicht ernst genommen und man muss sich alles erkÃ¤mpfen. 
Ãberall wird eingespart. Es gibt keine Bezugs pflege, am Wochenende sind keine Therapeuten oder Ãrzte zu sprechen, Nachts ist oft die Station nicht besetzt, man fÃ¼hlt sich oft allein gelassen mit seinen Problemen, das essen ist von den Portionen zu klein und oft minderwertige QualitÃ¤t auch teilweise nicht mehr gute Lebensmittel. Ich kÃ¶nnte noch mehr schreiben nur jeder sollte sich selbst ein bild machen. Es hat mir geholfen hier aber nur weil ich selbst so fit bin mir oft selbst zu helfen.",unzufrieden,weniger zufrieden,unzufrieden,weniger zufrieden,sehr zufrieden
Asklepios Fachklinikum Göttingen,"Unglaubliche MissstÃ¤nde, keine Behandlung",15.01.2018,Entbindung,"Nach mehreren Suizidversuchen wurde ich ""freiwillig"" zunÃ¤chst auf der 1.1 von der AuÃenwelt weggesperrt. Wenn man das nicht macht, wird man zwangseingewiesen und ist wochenlang dort in UnwÃ¼rde untergebracht. 

Hilfe sucht man vergeblich, man wird mit seinen Problemen vÃ¶llig alleine gelassen. Niemand hat da zeit fÃ¼r einen, niemand spricht mit den Patienten. Therapie findet nicht statt. Man muss 2 Stunden auf die Visite warten, wenn sie denn Ã¼berhaupt (1 mal pro woche angesetzt)stattfindet. 

Gewalt unter den Patienten, DiebstÃ¤hle an der tagesordnung, die Pfleger schauen nur zu. Die Insassen werden dort herablassend behandelt und vom Personal drangsaliert. Weigert sich ein Patient, wird Zwang und Gewalt an ihnen angewendet. 

Unglaubliche HygienemÃ¤ngel, Dreck der letzten jahrzehnte. Dazu alle krankheitsmuster zusammen in mehrbettzimmern untergebracht. Teilweise nur Dusche und Toilette auf dem Gang. 

Freigang in zugewuchertem Hof, aber nicht fÃ¼r alle. Manche sind dort 24 Stunden weggesperrt und bekommen Strafen, wenn sie nicht spuren.",unzufrieden,unzufrieden (fand nicht statt),unzufrieden (fand nicht statt),unzufrieden,sehr zufrieden
Asklepios Fachklinikum Göttingen,Dreckig,02.01.2018,Plastische Chirurgie,Ich sollte dahin hab mich aber nicht  wohl gefÃ¼hlt  es War dreckig und  langweilig  das essen War scheisse und  sollte ein Medikament  bekommen  laut artz habe ich  nie bekommen  ich wurde dahin eigentlich  Ã¼berwiesen  aber  wo ich angekommen  bin  wussten die nichts  davon nach 3 Std hab ich  mich selbst entlassen  die Ãrzte  wollten  mich Ã¼berreden dazu  bleiben,unzufrieden,unzufrieden,unzufrieden,unzufrieden,sehr zufrieden
Asklepios Fachklinikum Göttingen,"Nicht so schlecht, wie oft dargestellt...",03.12.2017,Frauen,"Ich habe die Klinik in den letzten 25 Jahren mehrfach besucht und versch. Stationen durchlaufen. ZunÃ¤chst die 12.2 (alte 12.2 (Sucht), die heutige 4.2) mehrfach, spÃ¤ter die 5.1. und letztmalig 2016 die 4.1. (die heutige 4.1. (Sucht), die ehemalige 11.2). Keiner dieser Aufenthalte war schlecht. Die folgende Bewertung bezieht sich ausschl. auf den 2016er Aufenthalt.  Eigentlich sollte ich nur fÃ¼r 3-4 Tage fÃ¼r einen Medikamentenwechsel bleiben, habe mich jedoch nach einem GesprÃ¤ch mit dem sehr frdl. Stationsarzt fÃ¼r eine alternative Behandlung entschieden, die 3,5 Wochen in Anspruch nahm. Die Stat. 4.1. ist eigentl. fÃ¼r jÃ¼ngere Leute (18-25) konzipiert, die ein Problem mit sog. Partydrogen haben. Teilw. wird aber auch mit ""Ã¤lterern Kalibern"" wie mir (Mitte 40) aufgestockt. Die Unterbringung erfolgt ausschl. in 2-Bett-Zimmern (wie auf fast allen anderen Stationen auch, mit Ausnahme z.B. 9 und 11.1). Ich bin eher der Einzelzimmerfreund, aber wenn man einen korrekten Zimmernachbarn hat, ist es O.K. (man kann auch untereinander umziehen, wenn es gar nicht passt). Ich hatte vom ersten Tag an unbegl. Ausgang, was auf einer Suchtstation nicht selbstverstÃ¤ndlich ist (saubere UK ist Voraussetzung), von tÃ¤gl. 3 Std. (wobei nicht auf die Min. geachtet wird). Medikation konnte ich mehr oder weniger selbst bestimmen, in Absprache mit dem Stat.-Arzt. Das Personal auf der Station ist soweit freundlich und umgÃ¤nglich. Einzige Kritik, die ich mit den anderen Bewertern teile, ist dass die Pfleger-/innen oft gleichzeitig Pause machen (im Pausenraum auf der Stat.), so dass teilweise lÃ¤ngere Zeit niemand ansprechbar ist ausser im Notfall. Die OberÃ¤rztin ist auch in Ordnung. Die zust. ChefÃ¤rztin ist super. Sie hatte zwar gerade Urlaub als ich dort war, aber ich kenne sie von anderen Aufenthalten sehr gut. Freizeitangebote wurden leider sehr zusammengestrichen. Mitpatienten von auÃerhalb GÃ¶ttingens waren sehr angetan vom Suchtbereich des Askl. im Vergleich zu anderen Kliniken. Gerne wieder!!",zufrieden (WÃ¼rde jederzeit wieder in den Suchtbereich gehen),zufrieden (Bekam ausreichend ErklÃ¤rungen und auf jede Frage eine Antwort),zufrieden (War so wie ich es mir vorgestellt habe),"sehr zufrieden (Kurz, schnell und Reibungslos)",zufrieden
Asklepios Fachklinikum Göttingen,Man darf nicht alles zu eng sehen,16.10.2017,Chirurgie,"Ich war gerade 6 Wochen auf Station 12.2.
Die Therapieangebote sind kurz gehalten, da man sich mit sich selbst auseinander setzen soll.
Sehr positiv empfand ich die Einzeltherapie. Alle Therapeutinnen machen ihre Arbeit toll. 
Auch die DBT Gruppentherapie ist sehr gut.
Das ich ein Einzelzimmer hatte mit Bad war auch positiv.
Negativ ist leider der GerÃ¤uschpegel auf der Station. Leider alles sehr hellhÃ¶rig und auch die Station darunter hÃ¶rt man, wenn StÃ¼hle gerÃ¼ckt werden.
Die Achtsamkeitsgruppe wird vom Pflegepersonal geleitet, genauso wie die Skill- und Qi Gong Grupoe. Ist nicht immer das , was man sich wÃ¼nscht. FÃ¼r mich war es nur ein "" Nebenschauplatz"". Diese Gruppen sollten jedoch von qualifizierten Therapeuten geleitet werden meiner Meinung nach.
Leider kÃ¶nnen die Zimmer nicht abgeschlossen werden und es gibt keinen Ausweichraum, wenn es auf dem Zimmer mal zwischen Patienten ""knallt"". 
Leider gibt es keine Massagen oder Feldenkrais fÃ¼r die Patienten.
Mein Fazit....Es ist nicht alles schlecht und nicht alles gut. Aber mir hat es was gebracht und ich werde bald wieder dort mein Zimmer beziehen.",zufrieden,zufrieden,zufrieden,unzufrieden,sehr zufrieden
Asklepios Fachklinikum Göttingen,Willi,01.10.2017,GefÃ¤Ãchirurgie,Die FachÃ¤rzte und Pflegepersonalwaer sehr gut von Station 5.3. Aufnahme ging sehr zÃ¼gig ohne Wartezeit. Essen ??,sehr zufrieden,zufrieden,sehr zufrieden (Die Ãrzte und Pflegepersonal haben mehr ahnung als man zu einer Reha fÃ¤hrt),zufrieden (Schnelle Abwicklung Kaum Wartezeitn),"weniger zufrieden (schlechtes Bett (Matraze, Kissen, Decken zu alt!), Durchgangsbad)"
Asklepios Fachklinikum Göttingen,"Konzept und Umsetzung sehr gut, Hygiene und Organisation mangelhaft",30.09.2017,Chirurgie,"Ich war eine Woche auf der Sation 10 (Alkoholentgiftung) und 6 Wochen auf Station 11.1 (Sucht- und Traumafolgebehandlung).

Zur Station 10 kann ich aufgrund des kurzen Aufenthaltes nur wenig berichten. Das ""offene"" Modell der Station empfand ich als sehr gut. Das Pflegepersonal war zum grÃ¶Ãten Teil in Ordnung. Essen gibt es auf der Station. Die Ausstattung ist mangelhaft (besonders Badezimmer), genauso wie die Hygiene. Es gibt keine regulÃ¤ren Einzelzimmer.


Station 11.1 ist gut. Auch wenn es ebenfalls massiv an der Hygiene mangelt. Die PutzkrÃ¤fte veteilen den Schmutz, so habe ich mehrfach (!) fremde Haare in meinem Zimmer und im Waschbecken vorgefunden. Die Toiletten (3 geschlechter unspezifisch, 1 jeweils nur fÃ¼r MÃ¤nner bzw. Frauen, insgesamt 5) werden nicht ausreichend gereinigt. Es gibt keinerlei MÃ¶glichkeit der HÃ¤ndedesinfektion, obwohl auf dieser Station Patienten mit ansteckenden Krankheiten, wie Hepatitis oder HIV verkehren. Die selbststÃ¤ndige Desinfektion mit handelsÃ¼blichen Mitteln wird angeraten.

Therapiekonzept ist sehr gut, ebenso die fachÃ¤rztliche-, pflegerische- und psychotherapeutische Betreuung. Es finden in der Regel 2 Einzeltermine mit dem/der Bezugstherapeut/-in wÃ¶chentlich statt. Einmal wÃ¶chentlich findet die Chefarztvisite statt. Daneben gibt es ein breites Spektrum an therapiebegleitenden Anwendungen wie Meditation, Yoga, Imagination, Traumreisen, Einzelskills-Training, Sport, KÃ¶rpertherapie und mehr. 

Auf der 11.1 gibt es ausschlieÃlich (sehr kleine) Einzelzimmer. Diese erfÃ¼llen ihren Zweck. Geraucht wird in einem ""Wintergarten"", dies ist rund um die Uhr mÃ¶glich. 

Die Station schlieÃt um 22 Uhr, danach ist keinerlei Ausgang mehr mÃ¶glich, Mittagessen wird in der klinikeigenen Mensa eingenommen, andere Mahlzeiten sind selbststÃ¤ndig planbar, die stationseigene KÃ¼che ist wochentags bis 22 Uhr nutzbar und ausreichend ausgestattet.

Es gibt 2 Fernseh- bzw. AufenthaltsrÃ¤ume, PatientenkÃ¼hlschrÃ¤nke und 2 nutzbare Computer inkl. Drucker.",zufrieden,sehr zufrieden,zufrieden,weniger zufrieden,unzufrieden
Asklepios Fachklinikum Göttingen,EnttÃ¤uschung,10.07.2017,Urologie,"Die Aufnahme war soweit ganz ok. Ausser das ich nicht richtig gefilzt wurde.Das heiÃt jeder SÃ¼chtel kann(und fast jeder tut dies auch)Drogen mit auf die Station bringen. Als mir mein Zimmer zugewiesen wurde, wurde ich noch bevor ich meine Sachen richtig in meinen Schrank einrÃ¤umen konnte von meinem Zimmernachbarn nach Haschisch gefragt.Ich verneinte und sagte ihm er kÃ¶nne doch hier raus und zum Bahnhof gehen. Dort gibt es alles. Er lachte nur.SpÃ¤ter wuÃte ich warum. Ich stellte mir die Frage warum Urinkontrollen gemacht werden. Auf dem Raucherbalkon roch es abends stÃ¤ndig nach Haschisch. Die Ersatzdrogen(fÃ¼r den angeblichen Entzug) wurden regelrecht untereinander getauscht.Das ging natÃ¼rlich nur mit festen Mitteln :-). Um nicht auseinandergenommen zu werden hat man schÃ¶n die Klappe gehalten. Es gabt Patienten die haben abends auf ihren Zimmern gekifft. Was soll das? Geht es der Klinik nur um Kohle? Wer wirklich SchluÃ machen will mit Drogen und Alkohol ist hier vÃ¶llig Fehl am Platz. Das Personal ist auch sehr unterschiedlich. Sehr nett und dann wieder andere unangenehm bÃ¶se. Gerade dass junge Personal ist sehr , sehr unhÃ¶flich.Kaum Zeit, weil das Handy wichtiger scheint. StÃ¤ndig patzige Antworten. Die allgemeine Sauberkeit ist grauenhaft.Das Essen ist unterster Standard. Und selten bekommt man das was man bestellt hat.Dass die Menschen die hier her kommen keine Engel sind ist wohl klar. Aber wie MÃ¼ll muss man sie nicht behandeln. Einige wollen ja tatsÃ¤chlich Hilfe. Gewaltandrohungen sind an der Tagesordnung. Ich kam hier her um Ruhe zu finden!!! Rechtsradikale Musik wird toleriert und Agro-Rap. Patienten richten sich die Aufenthalt-FehrsehsrÃ¤ume als privat RÃ¤ume ein. VÃ¶llig vermÃ¼llt!Eine sehr erschreckende Erfahrung meinerseits... Danke , nie wieder!!!",unzufrieden (s.o),weniger zufrieden (unwichtig),weniger zufrieden (zu kurze GesprÃ¤che),weniger zufrieden (zu langsam),unzufrieden
Asklepios Fachklinikum Göttingen,Psychiatrie,09.07.2017,Entbindung,"Die Aufnahme auf der Station 1.1.bzw 1.2 ist hervorragend. Zu der Statino 5.1 kann ich aus eigener Erfahrung sagen, hier wÃ¼rd einem wirklich geholfen. Mann sollte nur bei einer Verlegung darauf achten, dass man nicht auf die Station 7 verlegt wÃ¼rd. Denn da gibt es eine mÃ¶chte gern Therapeutin. Diese ist nicht in der Lage auf kranke Menschen einzugehen. Dies Station 7 ist in jeder Hinsicht zu meiden.",weniger zufrieden,weniger zufrieden,unzufrieden,unzufrieden,zufrieden
Asklepios Fachklinikum Göttingen,"Unfassbare ZustÃ¤nde: ZwangsmaÃnahmen, Erpressung Fehldiagnosen, Zwangsmedikation, Arroganz des Personals, Wichtigtuerei, Zeitmangel, Desinteresse ...",12.06.2017,Entbindung,"Boykottiert Asklepios und klagt gegen diesen Konzern 

https://www.asklepios.com/konzern/unternehmen/ueber-uns/gesellschafter/

Alle weiteren ZusammenhÃ¤nge kann man bei Interesse googlen ... einfach menschenverachtend  und ekelhaft ... 

http://www.goettinger-tageblatt.de/Goettingen/Uebersicht/Bericht-Bei-Verkauf-der-LKH-Goettingen-rechtliche-Vorschriften-verletzt

http://www.goettinger-tageblatt.de/Goettingen/Uebersicht/Verbreitung-von-Tageblatt-Bericht-Tricks-vom-Klinik-Konzern-Asklepios

FÃ¼r einen Appel und ein Ei vom Staat ""gekauft"" und seitdem scheffelt dieser Gutmensch Milliarden auf Kosten der Patienten ... Beschwerden des Personals und der Patienten werden ignoriert
http://www.goettinger-tageblatt.de/Goettingen/Uebersicht/Asklepios-Aerzte-gegen-Geschaeftsfuehrung 

und die Meinungs- und Pressefreiheit werden per ""Gerichtsbeschluss"" verhindert 
...http://www.goettinger-tageblatt.de/Goettingen/Uebersicht/Asklepios-geht-gegen-Tageblatt-vor 

Ich kann nur davon abraten, IRGENDEINE Asklepios-Klinik aufzusuchen ...",unzufrieden,"unzufrieden (keine Beratung, keine GesprÃ¤che, einfach nur schlecht)","unzufrieden (abartig und menschenverachtend, wie im GefÃ¤ngnis)",zufrieden (die haben wenigstens ihre Arbeit gemacht),zufrieden
