Name der Klinik,Message,bewertungen,Title,Datum der Bewertung,fachbereich,Gesamtzufriedenheit,Textuell Gesamtzufriedenheit,Qualität der Beratung,Textuell Qualität der Beratung,Mediz. Behandlung,Textuell Mediz. Behandlung,Verwaltung und Abläufe,Textuell Verwaltung und Abläufe,Ausstattung und Gestaltung,Textuell Ausstattung und Gestaltung,Pro,Kontra,Krankheitsbild,Privatpatient,Erfahrungsbericht,Nutzername,Berichtet als,Behandlungsjahr,Daumen
HEH Herzogin Elisabeth Hospital,,82 Bewertungen,Klinikaufenthalt,04.03.2021,Chirurgie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,4,zufrieden,"Nette Ärzte, Pflegepersonal selbst das Reinigungspersonal",----,Fundoplicatio,nein,Die Aufnahme auf Station war sehr freundlich. Die Schwester hat alles genau erklärt und hat mich gut auf die OP vorbereitet. ,Purzel2205,berichtet als Patient,Jahr der Behandlung: 2021,Daumen hoch
DIAKOVERE Annastift,,83 Bewertungen,Ich hoffe auf Dr. Smith,28.02.2021,Orthopädie,2,weniger zufrieden,6,sehr zufrieden,6,sehr zufrieden,2,"weniger zufrieden (völlig auf sich gestellt,keine Hilfe auf Station beim 1. Betreten)",0,"unzufrieden (Einzelzimmer extrem klein,Ausstattung mangelhaft)","Sehr guter Operateur,nettes Aufnahmeteam.","Unpersönliche Versorgung auf Staion,extrem kleines Einzelzimmer mit einem TV aus dem letzten Jahrtausend..und das bei dem Aufpreis...beim Essen ist viel Luft nach oben",Schulter-OP,ja,"Dr. Smith ist ein hervorragender Arzt,der zuhören kann, Empfehlungen ausspricht und Mut macht. Ich habe mich sehr gut behandelt gefühlt.Vielen Dankk!",Bogen45,berichtet als Patient,Jahr der Behandlung: 2021,Kein Info
DIAKOVERE Friederikenstift,,93 Bewertungen,Nur zu empfehlen,27.02.2021,Entbindung,6,sehr zufrieden (Kraißsaal),6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,4,zufrieden,Sehr freundlich,Sehr freundlich,Entbindung,nein,Super Hebammen im Kreißsaal. Ich habe 2019 dort entbunden und wurde tatkräftig und mit Geduld von Hebamme Linda Krüger unterstützt. Sehr professionell. ,Beri90,berichtet als Patient,Jahr der Behandlung: 2019,Daumen hoch
Sophienklinik GmbH,,45 Bewertungen,Top Klinik,18.09.2020,Orthopädie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,Einfach alles...,Nichts,Meniskus,nein,Von der Anmeldung bis zur Entlassung auf Station ist es eine glatte 1 mit Sternchen.,Bernd19683,berichtet als Patient,Jahr der Behandlung: 2020,Daumen hoch
DRK-Clementinenhaus,,172 Bewertungen,Einfach top,12.03.2021,Chirurgie,6,sehr zufrieden (Jederzeit wieder meine erste Wahl),6,sehr zufrieden (Sehr ausführlich),6,sehr zufrieden (Alles super!),6,sehr zufrieden (Alles gut koordiniert),6,sehr zufrieden (Alles sauber und ordentlich),Die Freundlich und Kompetenz,Nichts,Gallen OP,nein,"Am 01.3.2021 wurde mir die Galle entfernt. Das gesamte Team, von der Reinigungskraft bis zu den Ärzten war Top! Danke an die Anästhesie, ich hab mich sehr sicher und gut aufgehoben gefühlt.",Andrea7563,berichtet als Patient,Jahr der Behandlung: 2021,Daumen hoch
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,,44 Bewertungen,Pflege sehr gut - medizinische Versorgung fraglich,10.04.2019,Chirurgie,2,weniger zufrieden,2,weniger zufrieden,0,unzufrieden,4,zufrieden,6,sehr zufrieden,Pflegepersonal,Fragwürdiger Umgang mit der Wundversorgung - mit negativen Folgen für mich,Stein-Gallenblase mit gelegentlichen Beschwerden,nein,"Da ich vor vielen Jahren meine beiden Söhne dort zur Welt gebracht habe und dort nur Gutes erfahren hatte, und da meine Mutter vor einigen Jahren ebenfalls sehr gut dort aufgehoben war (Behandlung und Pflege), bin ich voller Vertrauen zu einer geplanten Gallenblasen-OP in eben dieses Krankenhaus gegangen. Über die stationäre Pflege kann man wirklich nicht klagen, die ist sehr gut, die PflegerInnen sehr aufmerksam, freundlich, verständnisvoll und hilfsbereit. OP ist auch allgemein gut verlaufen, allerdings habe ich mich gewundert, wie mit der Wundversorgung verfahren wurde. Dies ist mir letztendlich auch zum Nachteil geworden, so dass ich als Fazit sagen muss: Das Vertrauen, das ich in die medizinische Behandlung gesetzt hatte, ist mir ziemlich verloren gegangen. Müsste ich noch einmal entscheiden, würde ich diese doch eigentlich 'harmlose' OP nicht noch einmal in diesem Haus machen lassen.",VM19,berichtet als Patient,Jahr der Behandlung: 2019,Kein Info
KRH Klinikum Großburgwedel,,61 Bewertungen,Knie OP,06.02.2021,Chirurgie,6,sehr zufrieden (Vom ersten Termin bis zur OP Top),6,sehr zufrieden (Perfekte Erstbesprechung),6,sehr zufrieden (Mit klaren Worten zur Behandlung),6,sehr zufrieden (Top),6,sehr zufrieden (Alt aber top),Toller Service von A-Z,,Arthroskopie am linken Knie,nein,"Am 4.02.21 wurde am linken  Knie bei mir eine Arthroskopie mit Teilresektion, Knorpelshaving usw. durchgeführt.",Rainer19612,berichtet als Patient,Jahr der Behandlung: 2021,Daumen hoch
Asklepios Fachklinikum Göttingen,,62 Bewertungen,Asklepios spart an allen Ecken,24.09.2020,Psychiatrie,2,weniger zufrieden,4,zufrieden,2,weniger zufrieden,4,zufrieden,2,weniger zufrieden,Die Mitpatienten und Therapeuten,"Programm, Verpflegung, Teilweise sanitäre Anlagen","Depression, Ptbs",nein,"Man merkt leider, im Laufe der Jahre immer mehr, dass es ein Privatkonzern ist.",SML2,berichtet als Patient,Jahr der Behandlung: 2020,Kein Info
KRH Klinikum Lehrte,,35 Bewertungen,Dank an Ärzteteam und an Personal Station 3,13.03.2021,Innere,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,4,zufrieden,sehr gute Behandlung und Betreuung,,Corona,nein,Sehr aufmerksames Personal und sehr gute ärztliche Versorgung.,Dr.B.H.,berichtet als Angehöriger eines Patienten,Jahr der Behandlung: 2021,Daumen hoch
Augenklinik - Dr. Hoffmann,,23 Bewertungen,Hut ab!,23.04.2017,Augen,6,sehr zufrieden (Besser geht's nicht!),6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,"Freundliche, geduldige und überaus kompetente Mitarbeiter und Ärzte.",Unvermeidbarer Andrang im Empfangsbereich.,Netzhautablösung,nein,Hut ab! ,Rolf-Wilhelm,berichtet als Patient,Jahr der Behandlung: 2017,Daumen hoch
HEH Herzogin Elisabeth Hospital,,82 Bewertungen,Tolles Team,27.02.2021,Chirurgie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,4,zufrieden,4,zufrieden,"
",,Gallenblase entfernt,nein,Station 2,Hillcrawler,berichtet als Patient,Jahr der Behandlung: 2021,Daumen hoch
Kreis- und Stadtkrankenhaus Alfeld,,6 Bewertungen,Notaufnahme,06.06.2019,Frauen,0,unzufrieden,0,unzufrieden,0,unzufrieden,0,unzufrieden,0,unzufrieden,NICHTS,Alles,"Luftnot, Fieber, Kreislauf",,Hallo erstmal. ,Lala1712,berichtet als Patient,Jahr der Behandlung: 2019,Daumen runter
DIAKOVERE Annastift,,83 Bewertungen,Kleine aber feine orthopädische Klinik,12.02.2021,Orthopädie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden (Optimales Operationsergebnis),6,sehr zufrieden,6,sehr zufrieden,"Operationsergebnis,",,Hallux valgus li.,ja,"Anfang März 2020 begab' ich mich auf Empfehlung zur Chevron-/Akin-OT li. in diese kleine, aber feine orthopädische Klinik im schönen Hannover.",Rosa123,berichtet als Patient,Jahr der Behandlung: 2020,Daumen hoch
DIAKOVERE Friederikenstift,,93 Bewertungen,Schlechte OP-Planung,17.02.2021,Unfallchirurgie,0,unzufrieden,2,weniger zufrieden,2,weniger zufrieden,0,unzufrieden,2,weniger zufrieden,"
",,Beweglichkeitseinschränkung,nein,"OP-Termin wurde zum 5 mal verschoben (eine geplante Operation). Als Begründung werden Notfälle!!! genannt, dabei wurde der jeweilige Termin 24 - 48 Stunden vor der OP abgesagt und zwar immer nachdem ich dort zur Blutabnahme war, Fragebogen ausgefüllt habe und Coronatest gemacht habe. Also werden Notfälle eingeplant? Oder wie soll man das verstehen?",Swen12,berichtet als Patient,Jahr der Behandlung: 2021,Kein Info
