K_ID,Name_der_Klinik,Sternbewertung,Datum_der_Bewertung,Likes,Textuelle_Bewertung,Unnamed: 6,sentiment,sentimentBewertung
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 2 Monaten,1,"Mein Vater wurde in der Augenklinik aufgrund des grauen Stars erfolgreich behandelt bzw. operiert. Der gesamte Ablauf, Vor - Untersuchung, Beratung und schlussendlich die Operation selbst ist zu unserer vollsten Zufriedenheit verlaufen. Die Mitarbeiter sind allesamt sehr freundlich und es war alles sehr gut organisiert. Auch die gerade erforderlichen, erschwerenden Maßnahmen hinsichtlich Corona werden bestmöglich und erfolgreich umgesetzt, man fühlt sich sehr gut umsorgt. Angeboten wurde auch ein Abholservice zum OP Termin, den wir jedoch nicht in Anspruch genommen haben. Vor Ort wurde dem Patienten bzw. meinem Vater Kaffee und ein kleiner Snack angeboten: Hervorragender, sehr zuvorkommender Service! Besonders positiv in Erinnerung bleiben wird uns auch, daß man sich am späten Nachmittag nach der Operation nochmal nach dem Befinden meines Vaters erkundigt hat und ob er gut zuhause angekommen war. Hier fühlt man sich als Patient bestens beraten und rundum sehr gut aufgehoben!",,"Sentiment(polarity=0.51875, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 4 Sterne ,vor 6 Monaten,0,Kinderfreundliche Ärztin und Helferin. Konnte schnell helfen. Mit Kleinkind bei längeren Wartezeiten wäre eine spielecke jedoch angenehmer.,,"Sentiment(polarity=0.5666666666666667, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 3 Monaten,0,"Ich bin überzufrieden mit dem Klinikpersonal, die mich in der Woche nach meiner Operation betreuten. Angefangen von dem Personal, dass für die Essensverpflegung und Reinigung der Räumlichkeiten zuständig war, über das Schwesternpersonal bis hin zur Ärztin und Ihrer Assistentin in  der  Untersuchungspraxis kann ich mich überhaupt nicht beschweren. Ebenso die Aufklärung hinsichtlich der notwendigen Narkosemaßnahmen und der Beruhigung während der örtlichen Narkose sowie bis zum bisherigen Operationsergebnis ist alles zu meiner vollsten Zufriedenheit abgelaufen. Auch von den Räumlichkeiten, der Hygiene etc. ist alles weit
aus besser als in einer allgem. Klinik.
Das es keine TV-Schirme auf den einzelnen Zimmern gab, na ja, nach der
OP habe ich sowieso kaum etwas mit dem operierten Auge scharf sehen
können und für Radio hatte ich mein I-Pad dabei.
Natürlich wird es immer Situationen und Leute geben, die nicht zufrieden sind. Auch ich hatte Positives und Negatives hinsichtlich von Operationen
in dieser Klinik gehört. Aber ich kann dies nicht bestätigen. Alle die in meiner Zeit dort operiert wurden und mit denen ich Kontakt hatte, waren zufrieden.",,"Sentiment(polarity=-0.009999999999999998, subjectivity=0.13999999999999999)",Negativ
1,Augenklinik Dr. Hoffmann, 1 Stern ,vor 4 Monaten,0,Die Klinik ist irgendwie alt und dreckig. Die Arzthelferinnen sehen ungepflegt aus. Aber die Ärtze sind nicht schlecht.,,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.0)",Negativ
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 7 Monaten,0,Wirklich super freundliches Personal! Ich habe mich sehr gut aufgehoben gefühlt und auch der Arzt hat sich viel Zeit für mich genommen. Kann ich nur weiter empfehlen! :-),,"Sentiment(polarity=0.625, subjectivity=0.125)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 7 Monaten,0,"Ich war wirklich positiv überrascht! Nachdem ich gestern bei der offenen Sprechstunde eines anderen Augenarztes sehr enttäuscht wurde, und die älteren Rezensionen bei dieser Augenklinik hier auch nichts allzu gutes versprachen, bin ich mit gemischten Gefühlen heute morgen hingefahren.

Ich war gegen 07:25 da (07:30 beginnt die offene Sprechstunde) und da war auch bereits „Einlass“ seit ein paar Minuten. Es lief alles sehr gut organisiert ab, man durchlief quasi mehrere Stationen bis man dann am Ende bei der Ärztin landete - und alle Mitarbeiterinnen mit denen ich währenddessen Kontakt hatte waren super nett und hilfsbereit.
Insgesamt habe ich am Ende knapp 45 Minuten gewartet, was bei so einer offenen Sprechstunde noch total im Rahmen ist m.M.n. Die Ärztin selbst war auch total freundlich und wirkte kompetent. Ich wurde in Ruhe untersucht und mir wurde alles erklärt, man hatte absolut nicht das Gefühl einer Abfertigung (obwohl ich ja keinen Termin hatte).

Letztendlich war ich dann nach ca. 1 Stunde wieder draußen, habe mich gut beraten und untersucht gefühlt (ich war mindestens 15 Minuten bei der Ärztin drin würde ich schätzen - das ist heutzutage ja schon wirklich viel Zeit, die sich genommen wird!) - also alles besser als gedacht!",,"Sentiment(polarity=0.53, subjectivity=0.03333333333333333)",Positiv
1,Augenklinik Dr. Hoffmann, 1 Stern ,vor 5 Monaten,0,"Ich habe an der Klinik nichts auszusetzen, jedoch sind die Wartezeiten einfach zu lange. Selbst für eine Routine Nachuntersuchung sollte man 3-4 Stunden einplanen.",,"Sentiment(polarity=0.35, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 7 Monaten,1,"Ich bin sehr zufrieden. Ich war bereits zwei mal in Behandlung (verschiedene Befunde).
Alles sehr angenehm, kompetent und freundlich.

So wünscht man sich das!",,"Sentiment(polarity=0.0, subjectivity=0.0)",Neutral
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 6 Monaten,0,"Sehr zu empfehlen!
Ich hab mich zu jeder Zeit gut aufgehoben gefühlt und wurde über Behandlungen bestens aufgeklärt.",,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 5 Monaten,0,"Sehr nett und klar erklärt.
Ich bin zufrieden. Muss 5 Sterne geben.",,"Sentiment(polarity=0.3333333333333333, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 8 Monaten,0,Meine Behandlung verlief ohne Komplikationen. Ich habe mich bereits während der Voruntersuchung sehr gut aufgehoben gefühlt! Während meiner OP war immer ein Pfleger/Arzt an meiner Seite.,,"Sentiment(polarity=0.3333333333333333, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 6 Monaten,0,Meine Mutter musste an beiden Augen am grauen Star operiert werden und es hat alles bestens geklappt. Sie hat wieder mehr Lebensqualität gewonnen.,,"Sentiment(polarity=-0.35, subjectivity=0.5)",Negativ
1,Augenklinik Dr. Hoffmann, 1 Stern ,vor 7 Monaten,0,"Die Dame am Telefon sollte man eventuell zum Kacheln zählen ins Badezimmer schicken. Sie ist extrem unhöflich und respektlos.
Liebe Frau denken sie über einen Job Wechsel nach, es ist nie zu spät.",,"Sentiment(polarity=0.0, subjectivity=0.0)",Neutral
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 9 Monaten,0,"Ich kann hier durchweg nur positiv berichten.
Sehr nettes Ärzteteam, nette Arzthelferinnen, schnelle Terminvergabe, gute Betreuung.
Keine Vorabdiagnosen ohne genügend Befunde. Ohne die Vorbehandlung hätte die Behandlung im KH sicherlich noch länger gedauert.
Das einige was es zu „bemängeln“ gäbe sind die eigentlich nicht vorhandenen Parkplätze. Aber sonst alles Top! Weiterzuempfehlen!",,"Sentiment(polarity=0.37857142857142856, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 8 Monaten,1,"Ich habe mich sehr aufgehoben gefühlt, und wurde absolut kompetent und freundlich beraten.

Wird stets weiter empfohlen 🍾",,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 8 Monaten,1,"Ich bin vor einigen Jahren mit einer Netzhautablösung in die augenklinik gegangen, es wurde sehr schnell und absolut professionell operiert.
Seit dem bin ich zu der regelmäßigen Kontrolle und Behandlung dort! Nach wie vor immer zufrieden!",,"Sentiment(polarity=0.2333333333333333, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 1 Stern ,vor 5 Monaten,0,Es ist zur Zeit von corona verständlich das man nicht die ganze zeit zu 2 im wartezimmer platz nehmen darf.. das man hier aber seit fast 4 stunden vor der Tür in einem Zelt sitzt wo die heizstrahler nicht gehen ist eine absolute Frechheit! Und man dann noch raus geschmissen wird Weil man sich mal 10 Minuten aufwärmt,,"Sentiment(polarity=0.35, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 1 Stern ,vor 6 Monaten,0,Die Informationen auf der Website sind falsch. Ich bin um 9:00 Uhr wegen eines Notfalls hingefahren und wurde von einer sehr unfreundlichen Sprechstundenhilfe angewiesen. Ohne einen Termin gehe garnichts. Auch nicht bei Notfällen.,,"Sentiment(polarity=-0.5, subjectivity=0.0)",Negativ
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 8 Monaten,0,"Freundliches Team! Die offene Sprechstunde ist eine tolle Sache. Man kommt zwar nicht sofort dran, aber das Warten lohnt sich.",,"Sentiment(polarity=0.6666666666666666, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 7 Monaten,0,"Nette Mitarbeiter und Ärzte.
Augen OP super geklappt und zuvor gute Aufklärung über den Verlauf der OP.",,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 8 Monaten,1,Super nette und freundliche Arzthelferinnen und kompetente Ärzte. Ich fühlte mich sehr wohl und gut aufgehoben :),,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 1 Stern ,vor 6 Monaten,0,"Schon am Telefon super unfreundlich.
Zu mehr ist und wird es nicht mehr kommen.",,"Sentiment(polarity=-0.5, subjectivity=0.5)",Negativ
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 8 Monaten,0,Tolle Augenklinik mit kompetenten und freundlichem Personal. Ich habe mich dort sehr wohl gefühlt und kann diese Augenklinik absolut jedem empfehlen.,,"Sentiment(polarity=0.925, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 4 Sterne ,vor 8 Monaten,0,"Sehr ordentlich organisiert, sehr freundlich und man wird über alles vernünftig aufgeklärt.",,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 1 Stern ,vor 5 Monaten,0,"2 stunden hat meine Mutter gewartet, dann ist sie gegangen, komplett überfüllt und chaotisch!",,"Sentiment(polarity=0.0, subjectivity=0.0)",Neutral
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 6 Monaten,0,"Hervorragende Organisation und sehr freundliche, kompetente Mitarbeiter",,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 8 Monaten,1,"Sehr gute Erfahrungen, fühle mich dort sehr gut aufgehoben und komme gerne immer wieder!!!",,"Sentiment(polarity=0.5, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 4 Sterne ,vor 9 Monaten,0,"Ich gehe mit meinen meinen beiden Kindern regelmäßig in die Augenklinik, wir sind sehr zufrieden. Wir werden immer nett behandelt.",,"Sentiment(polarity=0.5, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 4 Sterne ,vor 9 Monaten,0,"War heute mit meiner Frau da und war total beeindruckt von der Freundlichkeit und der Umsicht der Assistentinnen, trotz der vielen Patienten im Haus und in der langen Schlange vor dem Haus. Unverständlich daß es immer noch Unverbesserliche gibt die sich beschweren.",,"Sentiment(polarity=-0.5, subjectivity=0.5)",Negativ
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 9 Monaten,0,"Sehr gut Klinik mit einem tollen Team! Auf jeden Fall, immer hin.",,"Sentiment(polarity=0.5, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 8 Monaten,1,"Eine Augenklinik mit modernster Ausstattung, freundlichem Personal und familiärer Atmosphäre.",,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 9 Monaten,0,"Nettes und freundliches Personal, vor allem in der Sehschule.Meine Tochter fühlte sich super aufgehoben und ich als Mutter auch.",,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 8 Monaten,0,"Wunderbare Klinik, jeder ist sehr freundlich, sehr beliebt!",,"Sentiment(polarity=0.9, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 8 Monaten,0,Super Beratung. Habe mich sehr wohl gefühlt!!!,,"Sentiment(polarity=0.0, subjectivity=0.0)",Neutral
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor einem Jahr,0,"Ich hatte einen kleinen Eingriff auf dem Augenlid, wovor ich ziemliche Angst hatte. Es wurde schnell und kompetent entfernt,  das gesamte Personal war sehr nett und ich habe mich sehr gut aufgehoben gefühlt. Keine Komplikationen im Anschluss.  Kann ich nur weiter empfehlen.",,"Sentiment(polarity=0.48125, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 8 Monaten,0,Nette und kompetente Angestellte! Sehr zu empfehlen,,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 8 Monaten,0,Sehr netter Kontak und kompetente Beratung.,,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 1 Stern ,vor 6 Monaten,0,Schlechteste Klinik die ich je gesehen habe,,"Sentiment(polarity=0.0, subjectivity=0.0)",Neutral
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor einem Jahr,1,Mein Sohn und ich können uns nicht beschweren. Am Empfang war eine sehr nette Dame. Auch beim ersten Sehtest war eine sehr freundliche und kinderliebe Frau. Und auch die Ärztin hat uns super aufgeklärt und hat alles kindgerecht mit meinem Sohn gemacht. Wir hatten einen Termin und insgesamt waren wir 50 Minuten dort (inklusive 1. Sehtest und Behandlung mit 2. Sehtest). Wir kommen wieder und fühlen uns gut aufgehoben.,,"Sentiment(polarity=0.4375, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 10 Monaten,0,Super kompetent! Super schnell und auch noch nett!!,,"Sentiment(polarity=0.6166666666666667, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 8 Monaten,1,Die offene Sprechstunde ist wirklich ein gutes Angebot,,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor einem Jahr,0,"Sehr freundliches Personal.
Dafür das wir keinen Termin hatten waren wir nach 30 min wieder draußen!!
Der Arzt war sehr freundlich und erklärte alles auch sehr Kind gerecht!!!!
Vielen Dank",,"Sentiment(polarity=0.5, subjectivity=0.25)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor einem Jahr,0,"Ich war heute morgen da , sehr nett Wartezeit normal 1,5 Std kann man ohne Termin hin gehen. Alles gut kann nur weiter empfehlen.",,"Sentiment(polarity=0.925, subjectivity=0.0)",Positiv
